 ゴーゴーカレー 神田駅南口パ－ク GoGoCurry KANDAEKI MINAMIGUCHI PARK,"東京都千代田区鍛冶町2-1-2, 101-0044"
restaurant カフェスタジオベーカリー CAFE STUIDO BAKERY,"1 Chome-7-１ Ōtemachi, 1F, Chiyoda-Ku, Tōkyō-to 100-8055"
restaurant よなよなビアワークス 赤坂店 YONA YONA BEER WORKS AKASAKA,"日本、〒100-0014 東京都千代田区永田町２丁目１４−３, 東急プラザ赤坂2F,"
restaurant 創作お茶漬け～庵～ 神田店 Ochazuke～An～ kandaten,"日本、〒101-0047 東京都千代田区内神田３丁目２２ 内神田３丁目２２−１０ 竹内 ビル 1f, 竹内ビル1F,"
restaurant カリーアンドスパイスバー カリービト Curry & Spice Bar Karibito,"Curry & Spice Bar 咖喱人, Chiyoda-Ku, Tōkyō-to 102-0072"
 さかなや道場 秋葉原昭和通り店 Sakanayadojo Akihabara Showadori,"東京都千代田区神田佐久間町2-11, 秋葉原ビル2Ｆ・3Ｆ・4Ｆ, Tokyo, 101-0025"
restaurant COCKTAIL WORKS 神保町 JINBOCHO,"東京都千代田区神田小川町3-7-13, ヴァンサンクビル1F, Tokyo, 101-0052"
 ココス 秋葉原 COCO'S Akihabara,"東京都千代田区外神田2-4-4, 第一電波ﾋﾞﾙ, Tokyo, 101-0021"
restaurant 福よし 神保町 Fukuyoshi Jinbochou,"東京都千代田区神田猿楽町1-3-4, Tokyo, 101-0064"
 サンマルクカフェ 神田西口店 Saintmarccafe Kanda Nishiguchi,"東京都千代田区内神田3-12-10, Tokyo, 101-0047"
restaurant 日乃屋カレー 御茶ノ水店 HINOYA CURRY OCHANOMIZU,"千代田区 神田駿河台2-10-3, 中島ビル1F, Tokyo, 101-0062"
restaurant 東京純豆腐 丸の内パレス店 Tokyo Sundubu marunouchi palace,"東京都 千代田区 丸の内 1-1-1, パレスビル B1F, Tokyo, 100-0004"
restaurant 牛かつ黒べこ 神保町 Gyukatsu Kurobeko Jinbocho,"東京都千代田区神田猿楽町1-3-4, Tokyo, 101-0064"
restaurant 日本橋 うどん酒場 ほし野 神田店 Nihonbashi Udonsakaba Hoshino Kanda Shop,"東京都 千代田区 鍛冶町 2-8-3 , マガザン神田, Tokyo, 101-0044"
restaurant 牛たん とろろ 麦めし ねぎし 有楽町店 Negishi Yurakucho,"東京都千代田区丸の内3-6-1, Tokyo, 100-0005"
restaurant キャメルダイナー 神保町店 CAMEL DINER Jinbocho,"東京都千代田区神田神保町２丁目６−３, Tokyo, 101-0051"
restaurant もつ千 神田西口店 Motsusen Kanda West Entrance,"日本、〒101-0047 東京都千代田区内神田３丁目５ 大同ビル, 2F, 東京都 101-0047"
restaurant 宋茶記 Souchaki,"東京都 千代田区 神田神保町3-2-1, Tokyo, 101-0051"
restaurant トップ タパス 水道橋店 TOP TAPAS,"東京都 千代田区 三崎町2-19-9, MMビル3F, Tokyo, 101-0061"
restaurant かまどか 飯田橋店 Kamadoka Iidabashi,"東京都千代田区飯田橋4-7−8, Yamashou3, Tokyo, 102-0072"
restaurant きづなすし 秋葉原店 KIZUNA SUSHI Akihabara,"東京都千代田区外神田1-15-18, 奥山ﾋﾞﾙ1･2F, 101-0021"
restaurant ベッカーズ 飯田橋東口店 Becker's Iidabashi-Eastexit,"東京都千代田区飯田橋4-10-1, ＪＲ飯田橋駅 東口改札外左, Tokyo, 102-0072"
restaurant 七宝麻辣湯 飯田橋 Cheepao Maratan Iidabashi,"Japan, 〒102-0071 Tōkyō-To, Chiyoda-Ku, Fujimi, 2 Chome−２−９, 1F, Tōkyō-to 102-0071"
restaurant 丸十精肉店 秋葉原店 Maruju Seinikuten Akihabara store,"東京都千代田区外神田4-3-3, 1F, Tokyo, 101-0021"
restaurant ３代目 たいめいけんカレー 神保町店 TAIMEIKEN Curry Jinbocho,"東京都千代田区神田猿楽町1-3-4, Tokyo, 101-0064"
 すき家 神保町駅前店 Sukiya Jinbocho Ekimae,"千代田区神田神保町1-14, KDX神保町ﾋﾞﾙ1F, 101-0051"
restaurant ZZZ とんかつ濵かつ JRお茶の水店 Tonkatsu Hamakatsu OCHANOMIZU,"Kanda Surugadai, 2 Chome, Chiyoda-Ku, Tōkyō-to 101-0062"
 スターバックス コーヒー 大手町ビル店 Starbucks Coffee,"東京都千代田区大手町1-6-1, 大手町ビルB2, Tokyo, 100-0004"
restaurant 韓国食堂 あんず Kankokushokudou anzu,"東京都千代田区神田神保町1-26-2, 矢崎ビル 1F, Tokyo, 101-0051"
restaurant 茶咖匠 神保町店 Chakasho Jinbocho,"東京都千代田区神田神保町1-52, ウニタビル１F,"
restaurant シャム有楽町 タイ国料理店 SiAM Yurakucho Thai Restaurant,"１丁目-６ 有楽町, 第2日比谷ビル10F, 千代田区, 東京都 100-0006"
 銀だこハイボール酒場 末広町店 Gindaco Hi-Ball Sakaba Suehirocho,"東京都千代田区外神田6-13-10, ﾌﾟﾛｽﾃｯｸ秋葉原1F, Tokyo, 101-0021"
 銀座ライオン LEO 丸の内センタービル店 GINZA LION LEO Marunouchi Center Bldg,"東京都千代田区丸の内1-6-1, 丸の内センタ-ビルB1F, Tokyo, 100-0005"
restaurant ロイヤルココナッツガーデン Royal Coconut Garden,"千代田区永田町2-11-1, 山王パークタワーB1, Tokyo, 100-6133"
restaurant キーズカフェ秋葉原店 KEY’S CAFE,"東京都 千代田区 神田佐久間町 1-19, 山中ビル１F, Tokyo, 101-0025"
restaurant お好み焼・鉄板焼 88 パチパチ 有楽町本店 Okonomiyaki・Teppannyaki 88 pachi-pachi Yurakucho Store,"東京都千代田区有楽町1-2-4, Tokyo, 100-0006"
 すき家 ｱｷﾊﾞ田代通り店 Sukiya Akiba Tashiro-Dori,"千代田区外神田4-5-8松孝商事ﾋﾞﾙ1f, 101-0021"
restaurant 一心 金子,"東京都千代田区富士見2-7-2, プラーノモール1F,"
 スープストック トーキョー お茶の水店 Soup Stock Tokyo Ochanomizu,"東京都千代田区神田駿河台4-3, 新お茶の水ビルディング1F, Tokyo, 101-0062"
restaurant ヴィノシティ Vinosity,"Kajichō, 2 Chome−4−1, 佐伯ビルF1B, Chiyoda-Ku, Tōkyō-to 101-0044"
restaurant チーズファイサル 神田店 (GRADELLA) CHEESE FAICAL (GRADELLA),"3 Chome-3 Kanda Kajichō, 2F,"
restaurant マジカレー 神田神保町店 MAJI CURRY KANDA JINBOCHO,"3 Chome-10-7 Kanda Ogawamachi, Chiyoda-Ku, Tōkyō-to 101-0052"
 天丼てんや 丸の内北口,"東京都千代田区丸の内1-7-2, 東京駅丸の内北口ガ-ド下, Tokyo, 100-0005"
 ガスト 水道橋店 Gusto SUIDOBASHI,"東京都千代田区西神田２丁目２－１３, 101-0065"
restaurant 西安麺荘 秦唐記 神保町店,"東京都千代田区神田神保町3-2-5, 九段ロイヤルビル101, Tokyo, 101-0051"
restaurant ジャックポット 国際ビル JACK POT International Building,"Jackpot, 千代田区, 東京都 100-0005"
restaurant ビストロ オリバー oliver,"東京都千代田区神田神保町1丁目32-13, ミマツビル1階, Tokyo, 101-0051"
restaurant 肉吸い専門 千日屋 岩本町店,"東京都千代田区神田佐久間町2-1, 大原ビル, Tokyo, 101-0025"
restaurant コムフォー大手町ビル店 COMPHO,"東京都千代田区大手町1-6-1, 大手町ビルB2, Tokyo, 100-0004"
 てけてけ 御茶ノ水駅前店 Teketeke Ochanomizu Station,"東京都千代田区神田駿河台2-4, ウィ-ンビル3F, Tokyo, 101-0062"
restaurant ブリーズ・オブ・トウキョウ BREEZE OF TOKYO,"東京都千代田区丸の内2-4-1, 丸の内ビルディング36F, Tokyo, 100-0005"
restaurant 令茶 Reicha,"東京都 千代田区 外神田1-10-2,"
restaurant ステーキ重 くまき Steak-juu Kumaki,"東京都 千代田区 内神田3丁目10番2号, 笹木ビル1階, Tokyo, 101-0047"
restaurant 極上ローストビーフ丼「Meat Fall」 神田佐久間店,"東京都千代田区神田佐久間町3-1-1, Tokyo, 101-0025"
 大衆酒蔵 庄や 【鮮魚/焼鳥/煮込/海鮮丼/定食】 神田東口店 Syoya Kanda Higashiguchi,"東京都千代田区鍛冶町2-13-25, JR高架下共同ビル1･2階,"
 スターバックス コーヒー 丸の内パークビル店 Starbucks Coffee Marunouchi Park Bldg,"東京都千代田区丸の内2-6-1, Tokyo, 100-0005"
restaurant シンガポール海南鶏飯 ウーバーイーツ店 Singapore hainanchifan Uber Eats,"2-Chōme-1-1 神田三崎町 Chiyoda City, Tōkyō-To 101-0061, Japan, 三崎町美幸ビル２階,"
restaurant パニーノジュスト 麹町店 Panino Giusto Kojimachi,"3 Chome-5-2 Kōjimachi, Chiyoda-Ku, Tōkyō-To 102-0083, Japan, BUREX麹町　地下1F,"
restaurant 東京チカラめし 秋葉原店 Tokyo Chikarameshi Akihabara,"東京都千代田区神田相生町1, 秋葉原センタ-プレイスビル2F, Tokyo, 101-0029"
restaurant チャヤ ナチュラル＆ワイルドテーブル 日比谷シャンテ店 Chaya Natural & Wildtable Hibiya Shante,"Chaya Macrobiotics Hibiya, B2F, 千代田区, Tōkyō-to 100-0006"
restaurant アシストコーヒーロースタリー Assistcoffeeroastery,"東京都千代田区岩本町1-1-4, サンサイド岩本町ビル１F, Tokyo, 101-0032"
 松屋 市ヶ谷店 Matsuya ICHIGAYA,"東京都千代田区九段北4-2-15, 市ヶ谷プラザ1F, 102-0073"
restaurant 厳選煮干しら〜めん 初代にぼ助 Restaurant,"東京都 千代田区 神田 駿河台 2-10-6 , 御茶ノ水Sビル1FA室,"
restaurant 北海道スープカレー Suage 丸の内店 Hokkaido Soup Curry Suage Marunouchi,"東京都千代田区丸の内2-6-1, 丸の内ブリックスクエアB1109区, Tokyo, 100-0005"
restaurant とり鉄 秋葉原店,"東京都千代田区神田佐久間町2-1, Tokyo, 101-0025"
 幸楽苑 平河町店 Kourakuen Hirakawacho,"東京都千代田区神田平河町4番地, Tokyo, 101-0027"
 バーガーキング お茶の水サンクレール店 Burger King OCHANOMIZU SANKURE-RU,"東京都千代田区神田駿河台4-3, 101-0062"
restaurant イエローバンブー 飯野ビル店 YELLOW BAMBOO,"イエローバンブー 飯野ビル店, B1, Chiyoda-Ku, Tōkyō-to 〒100-0011"
restaurant 過門香 丸の内トラストタワー店 Kamonka Marunouchi Trust Tower,"東京都千代田区丸の内1-8-1, Tokyo, 100-0005"
restaurant YouTubeで話題の弁当屋 京香 神田店,"東京都千代田区岩本町2-9-2, Tokyo, 101-0032"
restaurant 羽田市場黒鍋秋葉原店 HANEDA ICHIBA KURONABE AKIHABARATEN,"東京都千代田区外神田1-15-18, 奥山ビル4F, Tokyo, 101-0021"
restaurant 中華料理 リン ハウス Chinese Restaurant RIN HOUSE,"東京都千代田区外神田6-15-16, 長坂第一ビル1F, Tokyo, 101-0021"
 はなまるうどん 御茶ノ水明大通り店 Hanamaru Udon OCHANOMIZU MEIDAIDORI,"東京都千代田区神田小川町3-20-4, 第2龍名館ﾋﾞﾙ1F, 101-0052"
restaurant 龍門酒家 Ryumonshuka,"龍門酒家, Chiyoda-Ku, Tōkyō-to 102-0072"
restaurant オールドタイランド市ヶ谷店 Old Thailand Ichigaya,"東京都千代田区六番町4-3, GEMS市ヶ谷3F, Tokyo, 102-0085"
 スターバックス コーヒー JR東京駅日本橋口店 Starbucks Coffee,"東京都千代田区丸の内1-9-1, Tokyo, 100-0005"
restaurant 音音 八重洲鉄鋼ビル店 Oto-Oto Yaesu Tekko Bldg,"東京都千代田区丸の内1‐8‐2, Tokyo, 100-0005"
restaurant Chinese Restaurant 石井飯店 神田店,"東京都千代田区内神田3-17-8, 小山第1ビル1F, Tokyo, 101-0047"
restaurant ヤムヤムモンキー YumYum Monkey,"Sotokanda, 4 Chome−3−3, I’m My Favorite B T The Bj, Rv , Chiyoda-Ku, Tōkyō-to 101-0021"
restaurant 月光食堂 Bistro Gekko,"ディーキューブビル, 1F, Chiyoda-Ku, Tōkyō-to 101-0048"
restaurant 神田ビストロstyle4号店 KANDA BISTRO style #4,"千代田区鍛冶町1-6-17, Tokyo, 101-0044"
restaurant コシャリ屋コーピーキッチンカー富士ソフト秋葉原ビル店 Kushari Kohpea Kitchen Car Fuji Soft Akihabara Building Store,"Kanda Neribeichō, 千代田区, 東京都 101-0022"
restaurant 究極の豚丼 豚まつ【グルメな豚焼肉丼】飯田橋西口店,"東京都千代田区富士見2-3-7, 山田ビル1・2階,"
restaurant トニーローマ 三番町店 Tony Roma's Sanbancho,"東京都千代田区三番町6-4, ラ・メール三番町1F, 102-0075"
restaurant とんかつ かつ吉日比谷国際ビル店 Katsukichi Hibiya International Building,"東京都千代田区内幸町2-2-3, 日比谷国際ビルディングB1F, Tokyo, 100-0011"
restaurant Becker's×PRONTO ＪＲ東日本ホテルメッツ秋葉原店 Becker's×PRONTO JR East Hotel Mets Akihabara,"東京都千代田区外神田1-17-4, JR東日本ホテルメッツ秋葉原1F, Tokyo, 101-0021"
restaurant 焼肉丼たどん 秋葉原店 Yakinikudon tadon akihabaraten,"東京都千代田区外神田3-3-16, BM神田ビル1F, Tokyo, 101-0021"
restaurant セントハウス デン 丸の内 SCēNT HOUSE DEN Marunouchi,"千代田区丸の内1-1-3, 日本生命丸の内ガーデンタワー, Tokyo, 100-0005"
restaurant 九段 三希房 kudan sankibou,"東京都千代田区九段北1-10-5, サンブリッチ九段2F, Tokyo, 102-0073"
restaurant テイショクヤ(定食屋) Teishokuya,"千代田区神田西福田町2, ハトヤビル1階, 101-0037"
restaurant トゥッカーノグリル＆バー Tucano's Grill,"東京都千代田区神田花岡町1-1, ヨドバシAkiba1F,"
restaurant プーケットオリエンタル 東京ミッドタウン日比谷 PHUKET ORIENTAL TOKYO MIDTOWN HIBIYA,"東京都 千代田区 有楽町1-1-2, 東京ミッドタウン日比谷2F, Tokyo, 100-0006"
restaurant 春水堂 飯田橋店 Chunsuitan Iidabashi,"Fujimi, 2 Chome−10, 2F, Chiyoda-Ku, Tōkyō-to 102-0071"
restaurant スパイスバル ルンビニ 神田バル横丁店 Spice Bar LUMBINI,"東京都 千代田区 鍛冶町1-6-7, 神田バル横丁 1F, Tokyo, 101-0044"
restaurant いづもや神田本店 Izumoya Kanda,"いづもや 神田本店, 千代田区, Tōkyō-to 101-0047"
restaurant TARUTARU,"日本、〒100-0005 東京都千代田区丸の内３丁目１−１, 国際ビルB1F,"
restaurant タピオカ 台湾087花茶 Tapioca Taiwan 087 Flower Tea,"東京都 千代田区 五番町５-6, Tokyo, 102-0076,"
restaurant 金の蔵 秋葉原中央口店 Kinnokura Akihabara Chuo,"東京都千代田区神田相生町1, 秋葉原センタ-プレイスビル2F, Tokyo, 101-0029"
 スターバックス コーヒー アトレ四谷店 Starbucks Coffee atre Yotsuya,"東京都新宿区四谷1-5-25, Tokyo, 160-0004"
restaurant ターリー屋 新大手町ビル店 Thali-ya Shin Ootemachi Building,"Ōtemachi, 2 Chome−2, Shin Ootemachi Building / B1F, Chiyoda-Ku, Tōkyō-to 100-0004"
restaurant 紅虎餃子房丸の内センタービル店 Benitoragyouzabou Marunouchi-centerbill,"千代田区丸の内1丁目６－１, 丸の内センタービルB１, 100-0005"
 スターバックス コーヒー 東京ミッドタウン日比谷店 Starbucks Coffee Tokyo Midtown Hibiya,"東京都千代田区有楽町1-1-4, 東京ミッドタウン日比谷, Tokyo, 100-0006"
restaurant PRONTO 大手町店,"東京都千代田区大手町2-1-1, 大手町野村ビルＢ1Ｆ, Tokyo, 100-0004"
restaurant 1日に必要な半分のお野菜が摂れる　タニタカフェ有楽町店,"日本、〒100-0006 東京都千代田区有楽町２丁目９−６ ルミネ有楽町店ルミネストリート内,"
restaurant 上等カレー 飯田橋店 Joto Curry Iidabashi,"東京都千代田区飯田橋4-8-11, Tokyo, 102-0072"
restaurant 麺屋 青島 内神田店 Ramen Menya Aoshima Uchikanda Store,"東京都 千代田区 内神田2 -11-4, 金子ビル 1F, Tokyo, 101-0047"
 吉野家 お茶の水店 Yoshinoya OCHANOMIZU,"東京都千代田区神田駿河台2-4, 101-0062"
 吉野家 淡路町店 Yoshinoya AWAJIMACHI,"東京都千代田区神田須田町1-10-1, 101-0041"
restaurant 和牛焼肉 肉屋の台所 飯田橋店 Wagyu Yakiniku Nikuya-No-Daidokoro IIDABASHI,"東京都千代田区飯田橋4-9-8, 飯田橋プラザ8F, 102-0072"
 Sガスト 神田駅東口店 S Gusto Kanda-eki Higashi-guchi,"東京都千代田区鍛冶町２丁目７－２, 神田駅前ビル１Ｆ, 101-0044"
restaurant やきとりお㐂樂 半蔵門本店 Yakitori Okiraku Hanzomonhonten,"東京都千代田区隼町2-16, ブルンネン半蔵門1F, Tokyo, 102-0092"
restaurant 鹿児島県産桜島どり 燦鶏 霞ヶ関コモンゲート店 KagosimakensanSakurazimadori Sankei KasumigaseiCommonGate,"Kasumigaseki, 3 Chome−2, 千代田区, 東京都 100-0013"
restaurant YAMITUKIカリー 飯田橋店 YAMITUKI CURRY IIDABASHI,"Fujimi, 2 Chome−11, Chiyoda-Ku, Tōkyō-to 102-0071"
restaurant ８８デリバリー部 88 Delivery,"東京都千代田区岩本町2丁目1-1, アパホテル神田東1F, Tokyo, 101-0032"
restaurant ディゾン 神保町 DIXANS JIMBOCHOAC,"1 Chome-1-24 Kanda Jinbōchō, Chiyoda-Ku, Tōkyō-to 101-0051"
restaurant ザ・ダッド・ボッド・バーガー 水道橋 The Dad Bod Burger Suidobashi,"東京都千代田区神田三崎町2-22-18, 西山興業水道橋ビル6F, Tokyo, 101-0061"
 串カツ田中 秋葉原中央通り店 Kushikatsu Tanaka Akihabara Chuo Dori,"4-Chōme-4-2 Sotokanda, HULIC&New AKIHABARA3F, Chiyoda City, Tōkyō-to 101-0021"
restaurant フリホーレス ブリトー＆タコス 大手町ファーストスクエア店 Frijoles Otemachi First Square,"日本、〒100-6801 東京都千代田区大手町１丁目1−5−1 大手町ファーストスクエアeast 1階, 東京都 100-6801"
restaurant とんかつさくら 水道橋店【宅配専門店】 Tonkatsu Sakura Suidobashi,"神田三崎町３丁目８−１, 西田ビル 4F, 千代田区, 東京都 101-0061"
restaurant 上ル商店 神田店 Agarusyoten Kanda,"東京都千代田区鍛冶町2-13-28,"
 すき家 秋葉原駅岩本町店 Sukiya Akihabarae-Ki Iwamotomachi,"千代田区岩本町3-3-5秋葉原shﾋﾞﾙ1f, 101-0032"
 ジョナサン 妻恋坂店 Jonathan's Tsumakoizaka,"東京都千代田区外神田６丁目５－１２, 偕楽ビル１Ｆ, 101-0021"
restaurant 3米3 神保町店 Sanmaisanjinbochoten,"東京都 千代田区 西神田2-3-2, 牧ビル101,"
restaurant 鰻 うな照 秋葉原,"東京都千代田区神田佐久間町1-13, ChompchompAKIHABARA3F, Tokyo, 101-0025"
restaurant バルボア 霞ヶ関飯野ビル店 Balboa Kasumigaseki Iinobldg,"東京都千代田区内幸町2-1-1, 飯野ビルディング地下1F, Tokyo, 100-0011"
 ZZZ ローソン 神田駿河台一丁目店 Lawson Kanda Surugadai 1Chome,"東京都千代田区神田駿河台１‐６‐５, Tokyo, 101-0062"
 銀だこ 鉄板道場 東急プラザ赤坂店 Gindaco Teppan Dojo Tokyu Plaza Akasaka,"Nagatachō, 2 Chome−14, 東急プラザ赤坂B1F, Chiyoda-Ku, Tōkyō-to 100-0014"
restaurant 野田焼売店 紀尾井本店 Noda Shuumaiten Kioihonten,"東京都千代田区紀尾井町1-2, 東京ガーデンテラス紀尾井町2F, Tokyo, 102-0094"
restaurant タイ料理 サイアムセラドン 東京 Thai Food SiamCeladon Tokyo,"千代田区 丸の内1-8-2, 鉄鋼ビルB1F, Tokyo, 100-0005"
restaurant 一条もんこ先生のカレー診療所 秋葉原院 Dr.Ichijo Monko Curry Clinic Akihabara,"日本、〒101-0025 東京都千代田区神田佐久間町２丁目１１, JD秋葉原ビル1F, 東京都 101-0025"
restaurant 吉田のうどん研究所,"東京都千代田区飯田橋3-3-10, Tokyo, 102-0072"
restaurant 日本流カレーPost食堂 Japanese style curry post syokudou,"Ichibanchō, ユニロイヤル一番町 １０１, Chiyoda-Ku, Tōkyō-to 102-0082"
restaurant インド料理 マハラジャ 御茶ノ水店 Indianfood Maharaja Ochanomizu,"東京都千代田区神田駿河台2-1-20, お茶の水ユニオンビルB1F, Tokyo, 101-0062"
 長崎ちゃんぽん リンガーハット JRお茶の水店 Ringer Hut JR OCHANOMIZU,"東京都千代田区神田駿河台2-6-11第87東京ﾋﾞﾙ, 101-0062"
restaurant 焼肉市場 飯田橋亭 Yakinikuichiba Iidabashitei,"東京都千代田区飯田橋4-9-2, 和田ビル1,2,3,4F, Tokyo, 102-0072"
restaurant 神保町スペインバルGracia Spanish Restaurant Gracia,"東京都千代田区神田小川町3-14, 第一万水ビル1F, Tokyo, 101-0052"
 クリスピーチキンアンドトマト 飯田橋店 CRISPY CHICKEN n' TOMATO Iidabashi,"日本、〒102-0072 東京都千代田区飯田橋４丁目５−６, ECS第三ビル1F, 東京都 102-0072"
restaurant 札幌たる善 新丸の内店 SapporoTaruzen Shinmarunouchiーten,"千代田区 丸の内 1-5-1, 新丸の内ビルディング 5F, Tokyo, 100-0005"
restaurant 笑劇！ヤンの店 yannomise,"東京都千代田区神田神保町1-25-2, 大澤ビル1F, Tokyo, 101-0051"
restaurant ミート＆ワイン バッカス meat＆wine BACCHUS,"東京都 千代田区 神田東松下町49番地, Tokyo, 101-0042"
restaurant バルボア 神田小川町店 Balboa Kanda Ogawamachi,"東京都千代田区神田小川町2-6, 小池ビル地下1F, Tokyo, 101-0052"
restaurant インドネパールレストラン ナンハウス restaurant INDIAN NEPAL RESTAURANT NAN HOUSE,"2 Chome-15-9 Kanda Misakichō, 小暮ビル1F, Chiyoda-Ku, Tōkyō-to 101-0061"
restaurant ビストロ ウオザ Bistro Uoza,"日本、〒102-0071 東京都千代田区富士見２丁目３−８ 横江ビル, 1F, 東京都 102-0071"
restaurant 賄い丼や,"東京都千代田区麹町3-1, KOJIMACHITERRACEB1, Tokyo, 102-0083"
 磯丸水産 秋葉原店 Isomaru Suisan Akihabara,"東京都千代田区外神田1-16-10, 山本無線駅前ビル, Tokyo, 101-0021"
 てけてけ 神田店 Teketeke Kanda,"東京都千代田区鍛冶町2-9-1, Tokyo, 101-0044"
 はなまるうどん 秋葉原昭和通り店 Hanamaru Udon AKIHABARA SHOWADORI,"東京都千代田区神田松永町1, 宮沢ﾋﾞﾙ中 2F, 101-0023"
restaurant 大連餃子基地DALIAN 丸の内店 Dairengyouzakichi Dalian Marunouchi,"東京都千代田区丸の内3-2-3 , 二重橋スクエア B1F,"
 磯丸水産 神田北口店 Isomaru Suisan Kanda Kitaguchi,"東京都千代田区内神田3-13-7, プレイスポットビル地下1階・1階・2階, Tokyo, 101-0047"
restaurant 惣菜～SOZAI～ 神田店 SOZAI kandaten,"日本、〒101-0047 東京都千代田区内神田３丁目２２ 内神田３丁目２２−１０ 竹内 ビル 1f, 竹内ビル1F,"
restaurant 肉のヤマキ商店 お茶の水サンクレール店 Niku no Yamaki Ochanomizu Saint-Clair,"東京都千代田区神田駿河台4-3, 新お茶の水ビルディングB1F, Tokyo, 1010062"
 牛角 秋葉原電気街口店 Gyukaku Akihabara Denkigaiguchi,"日本、〒101-0021 東京都千代田区外神田１丁目１５−９ Akビルディング 8f,"
 はなまるうどん 水道橋西口店 Hanamaru Udon SUIDOBASHI NISHIGUCHI,"東京都千代田区三崎町3-7-1, 金沢ﾋﾞﾙ B1F, 101-0061"
 サブウェイ 秋葉原タイムズタワー店 SUBWAY Akihabara Times Tower,"東京都千代田区外神田4-14-2, 東京ﾀｲﾑｽﾞﾀﾜｰ1F, 101-0021"
restaurant チンタ ジャワ カフェ 秋葉原店 CINTA JAWA CAFE Akihabara,"東京都 千代田区 神田 和泉町1-1-7, 大和ビル1F, Tokyo, 101-0024"
restaurant メナムのほとり 丸の内ガーデンタワー店 Menamu Marunouchi Garden Tower,"メナムのほとり 丸の内ガーデンタワー店, Chiyoda-Ku, Tōkyō-to 100-0005"
restaurant 神田もつ焼きセンターえん Kanda Motsuyaki Center En,"3 Chome-4-1 Uchikanda, Chiyoda-Ku, Tōkyō-to 101-0047"
restaurant こめらく 有楽町店,"東京都千代田区有楽町1-10-1, 有楽町ビル1F, Tokyo, 100-0006"
